"","X","Day","Month","Year","count","mdy","wd"
"116",116,2,6,2015,6366,2015-06-02,3
"117",117,2,7,2010,2404,2010-07-02,6
"118",118,2,7,2011,1564,2011-07-02,7
"119",119,2,7,2012,5280,2012-07-02,2
"120",120,2,7,2013,4942,2013-07-02,3
"121",121,2,7,2014,5860,2014-07-02,4
"122",122,2,7,2015,3920,2015-07-02,5
"123",123,2,8,2010,5376,2010-08-02,2
"124",124,2,8,2011,4435,2011-08-02,3
"125",125,2,8,2012,4613,2012-08-02,5
"126",126,2,8,2013,2418,2013-08-02,6
"127",127,2,8,2014,2716,2014-08-02,7
"128",128,2,8,2015,6355,2015-08-02,1
"129",129,2,9,2010,4790,2010-09-02,5
"130",130,2,9,2011,2886,2011-09-02,6
"131",131,2,9,2012,2290,2012-09-02,1
"132",132,2,9,2013,5154,2013-09-02,2
"133",133,2,9,2014,5354,2014-09-02,3
"134",134,2,9,2015,5616,2015-09-02,4
"135",135,2,10,2010,2634,2010-10-02,7
"136",136,2,10,2011,5412,2011-10-02,1
"137",137,2,10,2012,4944,2012-10-02,3
"138",138,2,10,2013,5080,2013-10-02,4
"139",139,2,10,2014,4562,2014-10-02,5
"140",140,2,10,2015,6275,2015-10-02,6
"141",141,2,11,2010,6499,2010-11-02,3
"142",142,2,11,2011,5801,2011-11-02,4
"143",143,2,11,2012,4833,2012-11-02,6
"144",144,2,11,2013,3083,2013-11-02,7
"145",145,2,11,2014,7237,2014-11-02,1
"146",146,2,11,2015,5435,2015-11-02,2
"147",147,2,12,2010,5921,2010-12-02,5
"148",148,2,12,2011,3634,2011-12-02,6
"149",149,2,12,2012,5233,2012-12-02,1
"150",150,2,12,2013,5346,2013-12-02,2
"151",151,2,12,2014,5642,2014-12-02,3
"152",152,2,12,2015,6457,2015-12-02,4
"153",153,3,1,2010,8218,2010-01-03,1
"154",154,3,1,2011,5819,2011-01-03,2
"155",155,3,1,2012,9133,2012-01-03,3
"156",156,3,1,2013,5450,2013-01-03,5
"157",157,3,1,2014,6862,2014-01-03,6
"158",158,3,1,2015,3137,2015-01-03,7
"159",159,3,1,2016,8515,2016-01-03,1
"160",160,3,2,2010,5200,2010-02-03,4
"161",161,3,2,2011,5980,2011-02-03,5
"162",162,3,2,2012,2806,2012-02-03,6
"163",163,3,2,2013,6011,2013-02-03,1
"164",164,3,2,2014,6390,2014-02-03,2
"165",165,3,2,2015,7827,2015-02-03,3
"166",166,3,2,2016,6277,2016-02-03,4
"167",167,3,3,2010,6029,2010-03-03,4
"168",168,3,3,2011,5190,2011-03-03,5
"169",169,3,3,2012,2414,2012-03-03,7
"170",170,3,3,2013,5384,2013-03-03,1
"171",171,3,3,2014,6470,2014-03-03,2
"172",172,3,3,2015,7331,2015-03-03,3
"173",173,3,3,2016,5657,2016-03-03,5
"174",174,3,4,2010,2092,2010-04-03,7
"175",175,3,4,2011,4832,2011-04-03,1
"176",176,3,4,2012,4234,2012-04-03,3
"177",177,3,4,2013,4829,2013-04-03,4
"178",178,3,4,2014,5061,2014-04-03,5
"179",179,3,4,2015,3715,2015-04-03,6
